fecha_captura,fecha_actualizacion,nivel,ubigeo,nombre_ubigeo,actas_contabilizadas,contabilizadas,total_actas,participacion,votos_emitidos,votos_validos,enviadas_jee,pendientes_jee
2026-06-08T02:16:09+00:00,2026-06-08T02:12:03+00:00,nacional,,PERÚ,43.321,40187,92766,33.332,9108089,8508835,642,51937
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,nacional,,PERÚ,46.29,42941,92766,35.614,9731738,9092145,697,49128
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,010000,AMAZONAS,36.933,472,1278,26.544,91642,85409,9,797
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,020000,ÁNCASH,39.43,1369,3472,30.388,295185,270633,21,2082
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,030000,APURÍMAC,33.03,435,1317,25.244,91216,85908,4,878
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,040000,AREQUIPA,61.874,2608,4215,50.963,625070,585740,18,1589
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,050000,AYACUCHO,42.158,801,1900,32.508,169118,160484,10,1089
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,060000,CAJAMARCA,34.175,1449,4240,26.207,314162,290002,8,2783
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,240000,CALLAO,56.487,1637,2898,44.007,378010,352310,33,1228
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,070000,CUSCO,48.531,1933,3983,37.471,424831,396339,31,2019
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,080000,HUANCAVELICA,29.379,374,1273,21.082,71562,67826,3,896
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,090000,HUÁNUCO,40.795,955,2341,29.791,195582,182677,8,1378
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,100000,ICA,54.892,1341,2443,45.184,322610,304214,11,1091
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,110000,JUNÍN,57.383,2118,3691,43.973,467208,437747,15,1558
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,120000,LA LIBERTAD,58.299,3091,5302,45.098,700233,649101,23,2188
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,130000,LAMBAYEQUE,68.747,2468,3590,53.588,563394,519976,9,1113
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,140000,LIMA,45.126,13198,29247,35.929,3108261,2919045,384,15665
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,150000,LORETO,23.545,635,2697,15.497,120241,112331,7,2055
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,170000,MOQUEGUA,69.031,399,578,56.449,92931,87448,2,177
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,180000,PASCO,38.03,305,802,26.849,60059,55864,7,490
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,190000,PIURA,51.411,2715,5281,40.223,617051,569034,42,2524
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,200000,PUNO,36.267,1232,3397,29.316,282452,268793,10,2155
2026-06-08T02:24:18+00:00,2026-06-08T02:22:02+00:00,departamento,210000,SAN MARTÍN,45.343,1149,2534,34.103,246768,228058,6,1379
